Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
     count   0.503768   0.000044   0.000006                 14000.txt
      save   0.000016   0.000000   0.000000                 14000.txt
     count   0.577280   0.000052   0.000006                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000001   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000001   0.000000   0.000000                   index 4
     count   0.259615   0.000026   0.000000                 10000.txt
      save   0.000121   0.000000   0.000000                 10000.txt
     count   0.315428   0.000030   0.000002                 11000.txt
      save   0.000023   0.000000   0.000000                 11000.txt
     count   0.368433   0.000031   0.000006                 12000.txt
      save   0.000035   0.000000   0.000000                 12000.txt
     count   0.432531   0.000039   0.000004                 13000.txt
      save   0.000108   0.000000   0.000000                 13000.txt
     count   0.507065   0.000047   0.000004                 14000.txt
      save   0.000116   0.000000   0.000000                 14000.txt
     count   0.579147   0.000053   0.000004                 15000.txt
      save   0.000062   0.000000   0.000000                 15000.txt
Testing for version ./zad2_static and option -O2
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000020   0.000000   0.000000               20 elements
     count   0.262855   0.000022   0.000003                 10000.txt
      save   0.000017   0.000000   0.000000                 10000.txt
     count   0.310941   0.000029   0.000003                 11000.txt
      save   0.000026   0.000000   0.000000                 11000.txt
     count   0.369929   0.000035   0.000001                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.434653   0.000043   0.000001                 13000.txt
      save   0.000016   0.000000   0.000000                 13000.txt
     count   0.504327   0.000047   0.000003                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   0.577161   0.000052   0.000006                 15000.txt
      save   0.000018   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.259224   0.000024   0.000002                 10000.txt
      save   0.000124   0.000000   0.000000                 10000.txt
     count   0.314101   0.000028   0.000003                 11000.txt
      save   0.000064   0.000000   0.000000                 11000.txt
     count   0.378747   0.000036   0.000002                 12000.txt
      save   0.000061   0.000000   0.000000                 12000.txt
     count   0.442272   0.000041   0.000003                 13000.txt
      save   0.000117   0.000000   0.000000                 13000.txt
